id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
371741,Ali and Nino,2016-01-27,0,0,6.7,71,10.13,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
558985,Alice in Chains: AIC 23,2013-04-03,0,0,7.2,3,0.6,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",[]
258193,Alien Abduction,2014-04-04,0,0,5.845,346,19.18,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6876, 5922, 11060, 9951, 163053, 221657, 221658, 221659]"
604964,"Aliens, Clowns & Geeks",2021-01-30,0,0,9.0,2,2.118,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3199, 9951, 158988, 259002]"
349149,All American Bully,2015-06-23,0,0,10.0,1,0.675,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[6733]
456098,All About the Money,2017-06-02,0,0,5.9,30,5.198,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12670, 18026]"
70448,All About Evil,2010-05-01,0,0,5.9,48,3.998,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[3880]
516373,All at Once,2016-11-09,1500000,0,6.0,9,2.927,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
597597,All I Can Say,2022-04-08,0,0,8.0,1,0.696,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",[]
416261,All Hallow's Eve,2016-09-27,0,0,5.3,46,8.18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",[]
361043,All Hallows' Eve 2,2015-10-06,0,0,4.794,102,7.639,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11616, 232795, 250593, 305666]"
253980,Marvel One-Shot: All Hail the King,2014-02-04,0,0,6.754,483,24.326,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[9717, 180547, 263548]"
